nursery_id,item_code,common_name,scientific_name,description,container_size,container_type,quantity_available,wholesale_price,retail_price,location_code,category,plant_type,flower_color,published_height,published_spread,picture_1_url,sun_requirements,water_requirements,hardiness_zone,native_status,availability_date,notes
CHERRYLAKE,ACCSE00FX007,Pineapple Guava,Acca sellowiana,"24"" X 18"" X 0"" /",7,Gallon,90,26.0,,FA,Shrub,Shrub,,"24""","18""",https://cherrylake.com/images/web_photos/accse00fx007_a_1.jpg,Variable,Medium,,Non-native,,Origin: South America
CHERRYLAKE,ACCSE00FC015,Pineapple Guava,,"5' X 2.5' X 0"" /",15,Gallon,67,55.0,,FA,Feijoa,Tree,,5',2.5',https://cherrylake.com/images/web_photos/accse00fc015_a_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,ACERUFLTC015,Flame,Acer rubrum 'Florida Flame',"11' X 1.5' X 1.25"" / Consistent branching and spread.",15,Gallon,31,65.0,,FA,Maple Red,Tree,,11',1.5',https://cherrylake.com/images/web_photos/acerufltc015_a_1.jpg,Variable,Medium,,Native,,
CHERRYLAKE,ACERUFLTC015,Flame,Acer rubrum 'Florida Flame',"8' X 2' X 1.25"" / Units per truck 300 Min order qty 75",15,Gallon,0,76.0,,CSP,Maple Red,Tree,,8',2',https://cherrylake.com/images/web_photos/acerufltc015_p_1.jpg,Variable,Medium,,Native,,
CHERRYLAKE,ACERUFLTC030,Flame,Acer rubrum 'Florida Flame',"10' X 4' X 2"" / Full canopy, straight trunk",30,Gallon,779,170.0,,FA,Maple Red,Tree,,10',4',https://cherrylake.com/images/web_photos/acerufltc030_a_1.jpg,Variable,Medium,,Native,,
CHERRYLAKE,ACERUFLTC045,Flame,Acer rubrum 'Florida Flame',"12' X 3' X 2.5"" / good branching,straight trunks",45,Gallon,364,300.0,,FA,Maple Red,Tree,,12',3',https://cherrylake.com/images/web_photos/acerufltc045_a_1.jpg,Variable,Medium,,Native,,
CHERRYLAKE,ACERUFLTC045,Flame,Acer rubrum 'Florida Flame',"14' X 6' X 2.5"" / Consistent height, good branching, large scars",45,Gallon,35,181.05,,FD,Maple Red,Tree,,14',6',https://cherrylake.com/images/web_photos/acerufltc045_d_1.jpg,Variable,Medium,,Native,,
CHERRYLAKE,ACERUFLTC100,Flame,Acer rubrum 'Florida Flame',"16' X 6' X 4"" / Full canopy",100,Gallon,180,525.0,,FA,Maple Red,Tree,,16',6',https://cherrylake.com/images/web_photos/acerufltc100_a_1.jpg,Variable,Medium,,Native,,
CHERRYLAKE,ACERUFLTC100,Flame,Acer rubrum 'Florida Flame',"16' X 6' X 3.75"" / Minimum/Large Scars",100,Gallon,74,334.5,,FD,Maple Red,Tree,,16',6',https://cherrylake.com/images/web_photos/acerufltc100_d_1.jpg,Variable,Medium,,Native,,
CHERRYLAKE,ACERUSRTC015,Summer Red®,,"10' X 3.5' X 1.25"" / Consistent in branching and spread.",15,Gallon,99,66.38,,FA,Maple Red,Tree,,10',3.5',https://cherrylake.com/images/web_photos/acerusrtc015_a_1.jpg,Variable,Medium,,Native,,
