species_name	gbif_species_key	gbif_species_url	photo_1_mature_overall	photo_2_mature_overall	photo_3_flower_very_close_up	photo_4_flower_moderate_close_up	photo_5_unique_feature_photo_wildcard	photo_6_spring_feature	photo_7_summer_feature	photo_8_fall_feature	photo_9_winter_feature	total_number_of_SKUs	number_of_nursery_suppliers	nursery_to_SKU_count	original_name_summary	size_summary	quantity_summary	
Serenoa repens	2735055	https://www.gbif.org/species/2735055	https://inaturalist-open-data.s3.amazonaws.com/photos/461136558/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461527251/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/466590592/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/344523279/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/464159298/original.jpg	https://www.gbif.org/occurrence/5087700362	https://www.gbif.org/occurrence/4937186099	https://www.gbif.org/occurrence/4987401114	https://www.gbif.org/occurrence/5063227834	24	5	Coastal Botanics:11 | EarthBalance / Green Seasons:5 | Green Isle Gardens:4 | Cherrylake:2 | The Natives:2	"Serenoa repens":14 | "Serenoa repens 'Silver'":10	"3g":9 | "7g":6 | "15g":3 | "g":3 | "30g":2 | "3g+":1	"_":18 | "C":4 | "L":1 | "M":1	
Quercus virginiana	2878092	https://www.gbif.org/species/2878092	https://www.gbif.org/occurrence/5063554285	https://www.gbif.org/occurrence/5069924451	https://www.gbif.org/occurrence/4525155373	https://www.gbif.org/occurrence/5087607132	https://www.gbif.org/occurrence/5063614676	https://www.gbif.org/occurrence/4847127911	https://www.gbif.org/occurrence/2868254063	https://www.gbif.org/occurrence/4994511552	https://www.gbif.org/occurrence/3994056771	23	3	Marshall Tree Farm:13 | Cherrylake:8 | McKeithen Growers:2	"Quercus virginiana ":17 | "Quercus virginiana 'Cathedral'":4 | "Quercus virginiana 'Highrise'":1 | "Quercus virginiana 'Skyclimber'":1	"FG":10 | "_":5 | "45g":3 | "100g":2 | "200g":1 | "30g":1 | "7g":1	"_":22 | "C":1	
Viburnum obovatum	2888620	https://www.gbif.org/species/2888620	https://inaturalist-open-data.s3.amazonaws.com/photos/473029919/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/473029887/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/256997790/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/473029567/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/256997785/original.jpg	https://www.gbif.org/occurrence/4535747732	https://www.gbif.org/occurrence/2856622798	https://www.gbif.org/occurrence/4910772456	https://www.gbif.org/occurrence/4028615041	20	4	EarthBalance / Green Seasons:13 | Green Isle Gardens:4 | The Natives:2 | McKeithen Growers:1	"Viburnum obovatum":11 | "Viburnum obovatum 'Withlacoochee'":7 | "Viburnum obovatum 'Mrs. Schiller's Delight'":1 | "Viburnum obovatum (compact form)":1	"3g":11 | "7g":4 | "15g":3 | "3g+":1 | "g":1	"_":11 | "M":4 | "L":3 | "C":2	
Pinus elliottii	5285777	https://www.gbif.org/species/5285777	https://www.gbif.org/occurrence/5008153337	https://www.gbif.org/occurrence/5076782184	https://www.gbif.org/occurrence/5088141445	https://www.gbif.org/occurrence/5063084264	https://www.gbif.org/occurrence/5108109686	https://www.gbif.org/occurrence/5087635998	https://www.gbif.org/occurrence/4145418923	https://www.gbif.org/occurrence/4416966246	https://www.gbif.org/occurrence/5063760302	19	5	Cherrylake:6 | Marshall Tree Farm:5 | McKeithen Growers:4 | The Natives:3 | EarthBalance / Green Seasons:1	"Pinus elliottii var. densa":10 | "Pinus elliottii":9	"FG":7 | "3g":4 | "30g":3 | "15g":2 | "45g":1 | "7g":1 | "g":1	"_":15 | "C":2 | "L":1 | "M":1	
Muhlenbergia capillaris	2704016	https://www.gbif.org/species/2704016	https://www.gbif.org/occurrence/4145569501	https://www.gbif.org/occurrence/4431223097	https://www.gbif.org/occurrence/3070323271	https://www.gbif.org/occurrence/4950145571	https://www.gbif.org/occurrence/2988460900	https://www.gbif.org/occurrence/3058779288	https://www.gbif.org/occurrence/3384709713	https://www.gbif.org/occurrence/3947559053	https://www.gbif.org/occurrence/3032117770	17	5	EarthBalance / Green Seasons:8 | Beeman's Nursery:3 | Cherrylake:2 | Green Isle Gardens:2 | The Natives:2	"Muhlenbergia capillaris":17	"g":6 | "3g":4 | "4 inch":4 | "LN":2 | "TT":1	"_":10 | "M":6 | "C":1	
Myrcianthes fragrans	9920389	https://www.gbif.org/species/9920389	https://inaturalist-open-data.s3.amazonaws.com/photos/409588853/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/271697603/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/289341159/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/280377184/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/267966734/original.jpg	https://www.gbif.org/occurrence/4919186119	https://www.gbif.org/occurrence/4137600982	https://www.gbif.org/occurrence/3985873888	https://www.gbif.org/occurrence/2550120809	15	4	EarthBalance / Green Seasons:10 | Green Isle Gardens:2 | The Natives:2 | McKeithen Growers:1	"Myrcianthes fragrans":11 | "Myrcianthes fragrans 'Show Stopper'":2 | "Myrcianthes fragrans 'Stoppermorph'":2	"3g":7 | "7g":5 | "g":2 | "15g":1	"_":11 | "C":4	
Spartina bakeri	5290039	https://www.gbif.org/species/5290039	https://www.gbif.org/occurrence/4519067301	https://www.gbif.org/occurrence/5087745752	https://www.gbif.org/occurrence/4919521401	https://www.gbif.org/occurrence/4535636650	https://www.gbif.org/occurrence/4872449646	https://www.gbif.org/occurrence/4607480542	https://www.gbif.org/occurrence/4945726508	https://www.gbif.org/occurrence/3031828170	https://www.gbif.org/occurrence/4522685744	14	5	EarthBalance / Green Seasons:8 | Beeman's Nursery:2 | Green Isle Gardens:2 | Cherrylake:1 | The Natives:1	"Spartina bakeri ":14	"g":6 | "3g":3 | "4 inch":3 | "LN":2	"M":6 | "_":6 | "C":2	Synonym of Sporobolus bakeri (Merr.) P.M.Peterson & Saarela
Ilex vomitoria	5414250	https://www.gbif.org/species/5414250	https://inaturalist-open-data.s3.amazonaws.com/photos/460981885/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461022397/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/463750615/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461192849/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/481493319/original.jpeg	https://www.gbif.org/occurrence/4607093668	https://www.gbif.org/occurrence/4902086799	https://www.gbif.org/occurrence/4982346438	https://www.gbif.org/occurrence/5006793129	11	5	EarthBalance / Green Seasons:3 | Marshall Tree Farm:3 | McKeithen Growers:2 | The Natives:2 | Green Isle Gardens:1	"Ilex vomitoria":11	"15g":3 | "3g":3 | "_":2 | "7g":1 | "FG":1 | "g":1	"_":8 | "C":2 | "L":1	
Pinus palustris	5285816	https://www.gbif.org/species/5285816	https://www.gbif.org/occurrence/5063054182	https://www.gbif.org/occurrence/5140137141	https://www.gbif.org/occurrence/4600172198	https://www.gbif.org/occurrence/4516804712	https://www.gbif.org/occurrence/5134226937	https://www.gbif.org/occurrence/5140063893	https://www.gbif.org/occurrence/4908716435	https://www.gbif.org/occurrence/5007201784	https://www.gbif.org/occurrence/4011677878	10	4	Green Isle Gardens:3 | The Natives:3 | Cherrylake:2 | McKeithen Growers:2	"Pinus palustris":10	"3g":4 | "15g":2 | "30g":1 | "45g":1 | "7g":1 | "g":1	"_":7 | "C":2 | "M":1	
Ilex cassine	5414255	https://www.gbif.org/species/5414255	https://www.gbif.org/occurrence/4901170745	https://www.gbif.org/occurrence/4908198126	https://www.gbif.org/occurrence/4847236040	https://www.gbif.org/occurrence/4525162447	https://www.gbif.org/occurrence/4950576115	https://www.gbif.org/occurrence/5134005306	https://www.gbif.org/occurrence/4946406790	https://www.gbif.org/occurrence/4424394888	https://www.gbif.org/occurrence/4994299897	10	4	McKeithen Growers:5 | Marshall Tree Farm:3 | Cherrylake:1 | The Natives:1	"Ilex cassine":10	"_":3 | "7g":2 | "15g":1 | "30g":1 | "3g":1 | "45g":1 | "FG":1	"_":8 | "C":2	
