species_name,speciesKey,gbif_url,webp_url
Ageratina jucunda,5400763,https://www.gbif.org/species/5400763,https://ecodash.ai/images/nurseries/the-natives/Ageratina_jucunda.webp
Andropogon brachystachyus,2706113,https://www.gbif.org/species/2706113,https://ecodash.ai/images/nurseries/the-natives/Andropogon_brachystachyus.webp
Andropogon capillipes,2706083,https://www.gbif.org/species/2706083,https://ecodash.ai/images/nurseries/the-natives/Andropogon_capillipes.webp
Aristida beyrichiana,2706267,https://www.gbif.org/species/2706267,https://ecodash.ai/images/nurseries/the-natives/Aristida_beyrichiana.webp
Asclepias incarnata,3170266,https://www.gbif.org/species/3170266,https://ecodash.ai/images/nurseries/the-natives/Asclepias_incarnata.webp
Asclepias tuberosa subsp rolsii,6415938,https://www.gbif.org/species/6415938,https://ecodash.ai/images/nurseries/the-natives/Asclepias_tuberosa_subsp_rolsii.webp
Berlandiera subacaulis,3148287,https://www.gbif.org/species/3148287,https://ecodash.ai/images/nurseries/the-natives/Berlandiera_subacaulis.webp
Carphephorus corymbosus,3112048,https://www.gbif.org/species/3112048,https://ecodash.ai/images/nurseries/the-natives/Carphephorus_corymbosus.webp
Carphephorus odoratissimus,7795803,https://www.gbif.org/species/7795803,https://ecodash.ai/images/nurseries/the-natives/Carphephorus_odoratissimus.webp
Carya glabra,3054325,https://www.gbif.org/species/3054325,https://ecodash.ai/images/nurseries/the-natives/Carya_glabra.webp
Chamaecrista fasciculata,2949728,https://www.gbif.org/species/2949728,https://ecodash.ai/images/nurseries/the-natives/Chamaecrista_fasciculata.webp
Chrysopsis mariana,5385923,https://www.gbif.org/species/5385923,https://ecodash.ai/images/nurseries/the-natives/Chrysopsis_mariana.webp
Conoclinum coelestinum,3090343,https://www.gbif.org/species/3090343,https://ecodash.ai/images/nurseries/the-natives/Conoclinum_coelestinum.webp
Coreopsis floridiana,3133876,https://www.gbif.org/species/3133876,https://ecodash.ai/images/nurseries/the-natives/Coreopsis_floridiana.webp
Coreopsis lanceolata,3133938,https://www.gbif.org/species/3133938,https://ecodash.ai/images/nurseries/the-natives/Coreopsis_lanceolata.webp
Coreopsis leavenworthii,3133918,https://www.gbif.org/species/3133918,https://ecodash.ai/images/nurseries/the-natives/Coreopsis_leavenworthii.webp
Cornus foemina,3082230,https://www.gbif.org/species/3082230,https://ecodash.ai/images/nurseries/the-natives/Cornus_foemina.webp
Elephantopus elatus,5395893,https://www.gbif.org/species/5395893,https://ecodash.ai/images/nurseries/the-natives/Elephantopus_elatus.webp
Eragrostis elliotii,2705344,https://www.gbif.org/species/2705344,https://ecodash.ai/images/nurseries/the-natives/Eragrostis_elliotii.webp
Eragrostis spectabilis,2705413,https://www.gbif.org/species/2705413,https://ecodash.ai/images/nurseries/the-natives/Eragrostis_spectabilis.webp
Eryngium yuccifolium,3034408,https://www.gbif.org/species/3034408,https://ecodash.ai/images/nurseries/the-natives/Eryngium_yuccifolium.webp
