 * Serving Flask app 'server'
 * Debug mode: on
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://192.168.250.34:5001
Press CTRL+C to quit
 * Restarting with watchdog (fsevents)
 * Debugger is active!
 * Debugger PIN: 556-205-922
127.0.0.1 - - [01/Jun/2025 08:50:40] "GET /api/health HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:50:48] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:50:48] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:50:48] "GET /css/GoogleMaps2D.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:50:48] "GET /css/menu.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:50:48] "GET /images/ecodash_white_cropped.webp HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:50:48] "GET /js/CesiumManager.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:50:48] "GET /js/navigation.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:50:48] "GET /js/utilities.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:50:48] "GET /js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:50:48] "GET /js/GoogleMaps2DManager.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:50:48] "GET /js/UserManager.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:50:48] "GET /js/narratives.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:50:48] "GET /js/tilt.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:50:48] "GET /js/orbit.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:50:48] "GET /js/home.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:50:48] "GET /js/viewTransform.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:50:49] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [01/Jun/2025 08:51:16] "GET /css/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Jun/2025 08:51:16] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [01/Jun/2025 08:51:16] "GET /css/menu.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Jun/2025 08:51:16] "GET /css/GoogleMaps2D.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Jun/2025 08:52:58] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:52:58] "GET /css/GoogleMaps2D.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:52:58] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:52:58] "GET /images/ecodash_white_cropped.webp HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:52:58] "GET /css/menu.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:52:58] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [01/Jun/2025 08:52:58] "GET /js/CesiumManager.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:52:58] "GET /js/utilities.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:52:58] "GET /js/navigation.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:52:58] "GET /js/GoogleMaps2DManager.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:52:58] "GET /js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:52:58] "GET /js/narratives.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:52:58] "GET /js/UserManager.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:52:58] "GET /js/orbit.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:52:58] "GET /js/tilt.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:52:58] "GET /js/home.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:52:58] "GET /js/viewTransform.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2025 08:53:00] "GET /favicon.ico HTTP/1.1" 200 -
